CLUES,UNIDAD,REGION,MUNICIPIO,NIVEL
HGIMB001756,LOLOTLA,HUASTECA,LOLOTLA,1
HGIMB001761,CHALMA,HUASTECA,LOLOTLA,1
HGIMB001773,CHANTASCO,HUASTECA,LOLOTLA,1
HGIMB001785,CHICONCOAC,HUASTECA,LOLOTLA,1
HGIMB002041,MOLANGO,HUASTECA,MOLANGO DE ESCAMILLA,1
HGIMB002053,ACAYUCA,HUASTECA,MOLANGO DE ESCAMILLA,1
HGIMB002065,IXCUICUILA,HUASTECA,MOLANGO DE ESCAMILLA,1
HGIMB002070,SAN ANTONIO,HUASTECA,MOLANGO DE ESCAMILLA,1
HGIMB004532,UNIDAD MÉDICA DE MOLANGO,HUASTECA,MOLANGO DE ESCAMILLA,1
HGIMB002193,SAN FELIPE ORIZATLAN,HUASTECA,SAN FELIPE ORIZATLÁN,1
HGIMB002205,AHUATITLA,HUASTECA,SAN FELIPE ORIZATLÁN,1
HGIMB002210,NEXPA,HUASTECA,SAN FELIPE ORIZATLÁN,1
HGIMB002222,LAS PIEDRAS MICROPOLIS ECOLOGICA,HUASTECA,SAN FELIPE ORIZATLÁN,1
HGIMB002234,TALOL,HUASTECA,SAN FELIPE ORIZATLÁN,1
HGIMB002246,EL CARRIZAL,HUASTECA,SAN FELIPE ORIZATLÁN,1
HGIMB002251,LOS HUMOS,HUASTECA,SAN FELIPE ORIZATLÁN,1
HGIMB003033,TEPEHUACAN DE GUERRERO,HUASTECA,TEPEHUACÁN DE GUERRERO,1
HGIMB003045,ACUIMANTLA,HUASTECA,TEPEHUACÁN DE GUERRERO,1
HGIMB003050,AMOLA DE OCAMPO,HUASTECA,TEPEHUACÁN DE GUERRERO,1
HGIMB003062,AQUILASTEC,HUASTECA,TEPEHUACÁN DE GUERRERO,1
HGIMB003074,SAN MIGUEL AYOTEMPA,HUASTECA,TEPEHUACÁN DE GUERRERO,1
HGIMB003086,CUAZAHUATL,HUASTECA,TEPEHUACÁN DE GUERRERO,1
HGIMB003091,PETLAPIXCA,HUASTECA,TEPEHUACÁN DE GUERRERO,1
HGIMB003103,LA REFORMA,HUASTECA,TEPEHUACÁN DE GUERRERO,1
HGIMB003115,TAMALA,HUASTECA,TEPEHUACÁN DE GUERRERO,1
HGIMB003120,TEXCAPA DE GUERRERO,HUASTECA,TEPEHUACÁN DE GUERRERO,1
HGIMB003132,XILITLA,HUASTECA,TEPEHUACÁN DE GUERRERO,1
HGIMB003144,ZACUALTIPANITO,HUASTECA,TEPEHUACÁN DE GUERRERO,1
